Geneid;Length;Group;Rep1_ChIP.bam;Rep1_input.bam;Rep2_ChIP.bam;Rep2_input.bam;Rep1_input_norm;Rep1_ChIP_norm;Rep2_input_norm;Rep2_ChIP_norm;Rep1_enriched;Rep2_enriched;Average;SD;z-score;p-value;log10(p-value);rank;p-adj;log2(FC);color
LTR17;1008065;LTR/ERV1;209.0;130.0;235.0;153.0;0.0003372725032105748;0.0005357696754363703;0.000390625;0.0006033716923677332;1.5885364811428597;1.544631532461397;1.5665840068021284;0.02195247434073133;25.80957380967621;1e-16;16.0;91;1.73e-14;0.6476221351397037;red
MLT1G3;991706;LTR/ERVL-MaLR;249.0;223.0;197.0;182.0;0.0005785520631996783;0.0006383093262375895;0.00046466503267973854;0.0005058052059423125;1.1032876154782405;1.0885372695795876;1.0959124425289142;0.007375172949326436;13.004771981336887;1e-16;16.0;92;1.7111956521739133e-14;0.13213253937938382;grey
L1ME3G;7699192;LINE/L1;1066.0;1387.0;1081.0;1488.0;0.003598438168869748;0.0027326816938524918;0.003799019607843137;0.002775509784891573;0.7594077112379046;0.7305858014424269;0.7449967563401658;0.014410954897738859;17.6950969224007;1e-16;16.0;99;1.5902020202020203e-14;-0.42469395068456905;grey
LTR55;152770;LTR/ERVL;28.0;32.0;29.0;35.0;8.30209238672184e-05;7.177775556085344e-05;8.935866013071895e-05;7.445863437729474e-05;0.8645742810047861;0.8332559403685372;0.8489151106866617;0.015659170318124416;9.648332973201518;1e-16;16.0;100;1.5743e-14;-0.23630779966556748;grey
MER6A;372237;DNA/TcMar-Tigger;88.0;83.0;88.0;84.0;0.00021533552128059775;0.00022558723176268223;0.0002144607843137255;0.00022594344224834264;1.0476080788767115;1.0535419935694148;1.050575036223063;0.002966957346351662;17.04609480997526;1e-16;16.0;101;1.5587128712871287e-14;0.07117920867524244;grey
Charlie17b;173980;DNA/hAT-Charlie;26.0;35.0;29.0;42.0;9.080413547977014e-05;6.665077302079247e-05;0.00010723039215686274;7.445863437729474e-05;0.7340059201999816;0.6943799503071144;0.714192935253548;0.019812984946433576;14.425240089727042;1e-16;16.0;102;1.5434313725490197e-14;-0.4856142319310146;grey
UCON2#DNA;20012;DNA;1.0;8.0;2.0;8.0;2.07552309668046e-05;2.56349127003048e-06;2.0424836601307188e-05;5.1350782329168784e-06;0.12351061157211231;0.2514134302836104;0.18746202092786135;0.06395140935574904;12.705552344470636;1e-16;16.0;106;1.485188679245283e-14;-2.4153297540468537;blue
LTR32;398283;LTR/ERVL;107.0;71.0;102.0;73.0;0.00018420267483039085;0.00027429356589326134;0.0001863766339869281;0.0002618889898787608;1.4890856831792691;1.4051599939138772;1.4471228385465733;0.04196284463269595;10.65520801700348;1e-16;16.0;108;1.4576851851851854e-14;0.5331873897619588;red
LTR42;109723;LTR/ERVL;26.0;38.0;22.0;37.0;9.858734709232187e-05;6.665077302079247e-05;9.446486928104575e-05;5.648586056208566e-05;0.6760580843947198;0.5979562666204786;0.6370071755075992;0.039050908887120594;9.295374546637497;1e-16;16.0;110;1.431181818181818e-14;-0.6506184712112434;blue
HERVIP10FH-int;336856;LTR/ERV1;35.0;63.0;23.0;39.0;0.00016344744386358624;8.97221944510668e-05;9.957107843137255e-05;5.9053399678544104e-05;0.5489360514316103;0.5930778355408245;0.5710069434862174;0.022070892054607105;19.437051092107264;1e-16;16.0;117;1.3455555555555557e-14;-0.8084198059153103;blue
U7;13380;snRNA;3.0;7.0;2.0;5.0;1.8160827095954028e-05;7.69047381009144e-06;1.2765522875816994e-05;5.1350782329168784e-06;0.42346495396152783;0.4022614884537766;0.4128632212076522;0.010601732753875631;55.38120913090463;1e-16;16.0;119;1.3229411764705883e-14;-1.276264189196325;blue
Tigger1a_Mars;8444;DNA/TcMar-Tigger;0.1;2.0;0.1;2.0;5.18880774170115e-06;2.56349127003048e-07;5.106209150326797e-06;2.5675391164584395e-07;0.04940424462884492;0.050282686056722085;0.0498434653427835;0.00043922071393858245;2163.27806158541;1e-16;16.0;123;1.279918699186992e-14;-4.326451815252033;blue
